name,neighborhood,address
DAILY GRIND,Dunbar-Broadway,"610 WASHINGTON ST
Baltimore, MD"
dalesio's of little italy llc,Little Italy,"829 EASTERN AVE
Baltimore, MD"
DANCING PIGS,Washington Village,"1140 PACA ST
Baltimore, MD"
DANNY'S LOUNGE,Towanda-Grantley,"4316 REISTERSTOWN RD
Baltimore, MD"
DARBY'S,Morrell Park,"2351 WASHINGTON BLVD
Baltimore, MD"
DARKER THAN BLUE,Better Waverly,"3034 GREENMOUNT AVE
Baltimore, MD"
DASH SEAFOOD & CHICKEN,Central Park Heights,"5124 PARK HEIGHTS AVE
Baltimore, MD"
DAVEY JONES LOCKER,Brewers Hill,"800 DEAN ST
Baltimore, MD"
DAVID & DAD'S LLC,Downtown,"334 CHARLES ST
Baltimore, MD"
DAVID'S RESTAURANT & DELI,Hampden,"3626-A FALLS RD
Baltimore, MD"
DAYS INNS MANAGEMENT CO,Inner Harbor,"100 HOPKINS PLZ
Baltimore, MD"
DEAD END SALOON,Fells Point,"935 FELL ST
Baltimore, MD"
DEAD FREDDIES,North Harford Road,"7209 HARFORD RD
Baltimore, MD"
DECADES SPORTS BAR,Curtis Bay,"4221 CURTIS AVE
Baltimore, MD"
DECKERS BAR & GRILLE,Locust Point,"1401 DECATUR ST
Baltimore, MD"
DEEP SIDE RESTAURANT & CAFÂ,Baltimore-Linwood,"123 CLINTON ST
Baltimore, MD"
DEGO DAME'S,Little Italy,"1018 EASTERN AVE
Baltimore, MD"
DELLA ROSE'S 2 CANTON CROSSING,Canton Industrial Area,"1501 CLINTON ST
Baltimore, MD"
DESERT CAFE'(1605-07),Mount Washington,"1607 SULGRAVE AVE
Baltimore, MD"
DESERT INN,Midtown-Edmondson,"1901 HARLEM AVE
Baltimore, MD"
DIAMOND LOUNGE   (415 1/2 E. BALTIMORE STREET),Downtown,"415 BALTIMORE ST
Baltimore, MD"
DIANNE'S RESTAURANT LOUNGE,Middle East,"709 711 N CHESTER ST
Baltimore, MD"
DILONE GROCERY & RESTAURANT,Baltimore-Linwood,"157 LAKEWOOD AVE
Baltimore, MD"
"DIMIS CAFÂ AND GRILL, INC.",Roland Park,"500 COLDSPRING LN
Baltimore, MD"
DIMITRI'S TAVERN,Hampden,"3820 FALLS RD
Baltimore, MD"
DING HOW RESTAURANT,Fells Point,"631 BROADWAY
Baltimore, MD"
DIONYSUS RESTAURANT & LOUNGE,Mid-Town Belvedere,"8 PRESTON ST
Baltimore, MD"
DIZZY  IZZY,Remington,"300 30TH ST
Baltimore, MD"
DOMINICANO INTERNACIONAL,Brewers Hill,"601 CONKLING ST
Baltimore, MD"
DOMINO SUGAR CAFATERIA OPERATION # 65227,Riverside,"1100 KEY HWY
Baltimore, MD"
DONNA'S,Inner Harbor,"110 PACA ST
Baltimore, MD"
DONNA'S,Holabird Industrial Park,"6607 PINE AVE
Baltimore, MD"
DONNA'S,Mount Vernon,"800 CHARLES ST
Baltimore, MD"
"DONNA'S CHARLES VILLAGE, LLC",Charles Village,"3101 ST PAUL ST
Baltimore, MD"
DONNA'S CROSS KEYS,Cross Keys,"5100 FALLS RD
Baltimore, MD"
DONRITZ BAR & GRILL,Franklin Square,"1508 SARATOGA ST
Baltimore, MD"
DOUGHERTY'S,Mid-Town Belvedere,"223 CHASE ST
Baltimore, MD"
DOWN THE HATCH,Locust Point,"1157 HAUBERT ST
Baltimore, MD"
DOWNTOWN SPORTS EXCHANGE,Inner Harbor,"200 PRATT ST
Baltimore, MD"
"DREAM TAVERN, CARRIBEAN  U.S.A.",Broadway East,"2300 LAFAYETTE AVE
Baltimore, MD"
DREAMS INN,Brooklyn,"527 PATAPSCO AVE
Baltimore, MD"
DRIFTERS RAW BAR & GRILL,Federal Hill,"1024 CHARLES ST
Baltimore, MD"
DUCK'S BLACK SATIN LOUNGE,Central Park Heights,"4559 REISTERSTOWN RD
Baltimore, MD"
DUCKY PLEASURE CLUB,Canton,"900 CLINTON ST
Baltimore, MD"
DUCLAW BREWING COMPANY,Gay Street,"901 BOND ST
Baltimore, MD"
DUDA'S TAVERN,Fells Point,"1600 THAMES ST
Baltimore, MD"
DUKEM ETHIOPIAN RESTAURANT,Mid-Town Belvedere,"1100 MARYLAND AVE
Baltimore, MD"
DUNKIN DONUTS,Hampden,"1020 41ST ST
Baltimore, MD"
Dunkin Donuts,Orangeville,"4022 pulaski hwy
Baltimore, MD"
DUNKIN DONUTS,Cross Keys,"4535 FALLS RD
Baltimore, MD"
DUNKIN DONUTS,Homeland,"5422 YORK RD
Baltimore, MD"
DUNKIN DONUTS,Fallstaff,"7000 REISTERSTOWN RD
Baltimore, MD"
DUNKIN DONUTS & BASKIN ROBBINS,Harford-Echodale/Perring Parkway,"5401 HARFORD RD
Baltimore, MD"
DUNKIN DONUTS/BASKIN ROBBINS,Canton Industrial Area,"3600 BOSTON ST
Baltimore, MD"
DUTCH POT CAFÂ,Downtown,"102 CLAY ST
Baltimore, MD"
DYNASTY,Downtown,"406 BALTIMORE ST
Baltimore, MD"
E C CAFÂ & CATERING,Hopkins Bayview,"5501 HOPKINS BAYVIEW CIR
Baltimore, MD"
EAGLE NEST,Curtis Bay,"4800 CURTIS AVE
Baltimore, MD"
EAST BALTIMORE ENTERPRISE,Jonestown,"239 GAY ST
Baltimore, MD"
EASTERN HOUSE RESTAURANT,Highlandtown,"3706 EASTERN AVE
Baltimore, MD"
EASTSIDE  SPORTS  SOCIAL  CLUB,Broadway East,"1203 COLLINGTON AVE
Baltimore, MD"
EAT MUST BE FIRST,Seton Hill,"600 lexington st
Baltimore, MD"
ECLECTIC CAFÂ,Fells Point,"723 BROADWAY
Baltimore, MD"
edelweiss bakery & cafâ€š',Westfield,"6000 harford rd
Baltimore, MD"
EDENS LOUNGE,Mid-Town Belvedere,"15 EAGER ST
Baltimore, MD"
"EDGAR'S INC.--BALTIMORE, MD",Inner Harbor,"1 PRATT ST
Baltimore, MD"
EDIE'S DELI & GRILL,Inner Harbor,"250 PRATT ST
Baltimore, MD"
EDISON   LOUNGE,Ellwood Park/Monument,"3133 MONUMENT ST
Baltimore, MD"
EDO SUSHI,Inner Harbor,"201 PRATT ST
Baltimore, MD"
EICHENKRANZ RESTAURANT,Brewers Hill,"611 FAGLEY ST
Baltimore, MD"
EL OSASIS RESTAURANT & DISCOTEC,Brewers Hill,"3919 EASTERN AVE
Baltimore, MD"
EL RANCHO BLANCO,Baltimore Highlands,"100 FAGLEY ST
Baltimore, MD"
EL RANCHO GRANDE,Hampden,"3608 FALLS RD
Baltimore, MD"
"EL RECODO, INC.",Fells Point,"219 BROADWAY
Baltimore, MD"
EL RINCONCITO PERUANO,Washington Hill,"1801 LOMBARD ST
Baltimore, MD"
EL TORITO MEXICAN RESTAURANT,Downtown,"110 MULBERRY ST
Baltimore, MD"
EL TROPICAL RESTAURANT (3736-38),Baltimore Highlands,"3736 LOMBARD ST
Baltimore, MD"
ELDORADO INC.,Kresson,"4100 LOMBARD ST
Baltimore, MD"
ELKS I.B.P.O.E.OF W.,Johnston Square,"1127 GREENMOUNT AVE
Baltimore, MD"
ELLIOT'S POUR HOUSE,Brewers Hill,"3728 HUDSON ST
Baltimore, MD"
EL-MOLINO,Baltimore-Linwood,"3230 FAIRMOUNT ST
Baltimore, MD"
ELVIS RESTAURANT,Federal Hill,"1022 LIGHT ST
Baltimore, MD"
ENRICO'S SPORTS CAFE,Highlandtown,"200 HAVEN ST
Baltimore, MD"
ESPN  ZONE,Inner Harbor,"601 PRATT ST
Baltimore, MD"
europe restaurant & catering,Reisterstown Station,"4147 labyrinth rd
Baltimore, MD"
EVERYDAY'S LLC,Coldstream Homestead Montebello,"1600 ABBOTTSON ST
Baltimore, MD"
EXCLUSIVE,Mid-Town Belvedere,"1 CHASE ST
Baltimore, MD"
family diner,Fairfield Area,"3117 VERA ST
Baltimore, MD"
FAMOUS RESTAURANT,Charles North,"2101 MARYLAND AVE
Baltimore, MD"
FANTASIES,Curtis Bay,"5520 PENNINGTON AVE
Baltimore, MD"
FANTASY CAFÂ,Holabird Industrial Park,"6640 HOLABIRD AVE
Baltimore, MD"
FEDERAL HILL LOUNGE,Federal Hill,"23 CROSS ST
Baltimore, MD"
FELL'S POINT CARRYOUT,Fells Point,"1635 FLEET ST
Baltimore, MD"
FIELDER'S TAVERN,Washington Village,"1184 NANTICOKE ST
Baltimore, MD"
FIELDS OLD TRAIL,Mid-Govans,"5723 YORK RD
Baltimore, MD"
FIELDS RIB HOUSE,Central Forest Park,"3308 GARRISON BLVD
Baltimore, MD"
FILLIN' STATION,Morrell Park,"2501 WASHINGTON BLVD
Baltimore, MD"
FIRESIDE NORTH LIQUORS,Coppin Heights/Ash-Co-East,"2201 NORTH AVE
Baltimore, MD"
FISHERMANS WHARF INNER HARBOR,Inner Harbor,"219 PRESIDENT ST
Baltimore, MD"
FIVE GUYS @ BREWERS HILL,Canton Industrial Area,"3600 BOSTON ST
Baltimore, MD"
FIVE GUYS FAMOUS BURGERS & FRIES,Mount Vernon,"111 CENTRE ST
Baltimore, MD"
FIVE GUYS FAMOUS BURGERS & FRIES,Inner Harbor,"201 PRATT ST
Baltimore, MD"
FIVE POINT TAVERN,Fells Point,"1800 THAMES ST
Baltimore, MD"
FIVE SEASONS,Mount Vernon,"830 GUILFORD AVE
Baltimore, MD"
FLAMERS BURGER & CHICKEN,Dunbar-Broadway,"601 CAROLINE ST
Baltimore, MD"
FLAMINGO  LOUNGE,Downtown,"403 BALTIMORE ST
Baltimore, MD"
Fleming's Prime Steakhouse and Wine Bar,Inner Harbor,"720 Aliceanna st
Baltimore, MD"
FLETCHERS,Fells Point,"701 BOND ST
Baltimore, MD"
FLIP'S AT CLIPPER MILL,Hampden,"1601 UNION AVE
Baltimore, MD"
FOGO DE CHAO,Inner Harbor,"600 PRATT ST
Baltimore, MD"
FOODTOPIA,Downtown,"17 BALTIMORE ST
Baltimore, MD"
FORT CHARLES PUB,SBIC,"1439 CHARLES ST
Baltimore, MD"
FOUL BALL BAR,Washington Village,"839 CROSS ST
Baltimore, MD"
FOUR G'S LIQUOR & LOUNGE,Howard Park,"4701 3 LIBERTY HEIGHTS AVE
Baltimore, MD"
FOXY LADY,Downtown,"16 CUSTOM HOUSE AVE
Baltimore, MD"
FRANKLINTOWN INN,Franklintown,"5200 FRANKLINTOWN RD
Baltimore, MD"
FRANK'S PIZZA,Rosemont East,"6620 BELAIR RD
Baltimore, MD"
fraternal order of police baltimore city lodge #3,Hampden,"3920 buena vista ave
Baltimore, MD"
FRAZIER'S ON THE AVENUE,Hampden,"919 36TH ST
Baltimore, MD"
FRED & MARGIE'S INN,Curtis Bay,"3605 FAIRHAVEN AVE
Baltimore, MD"
FREDERICK STATION SALOON,Irvington,"4019 FREDERICK AVE
Baltimore, MD"
FRIENDLY  FRIED  CHICKEN,Abell,"3221 GREENMOUNT AVE
Baltimore, MD"
FRIEND'S RESTAURANT AND SPIRITS,Fells Point,"1634 ALICEANNA ST
Baltimore, MD"
FULL MOON SALOON,Fells Point,"1710 ALICEANNA ST
Baltimore, MD"
FULTON RESTAURANT,Penn North,"2733 PENNSLYVANIA AVE
Baltimore, MD"
FULTON RESTAURANT    (2201 1/2 FULTON AVENUE),Penn North,"2201 FULTON Ave
Baltimore, MD"
G & A RESTAURANT,Brewers Hill,"3802 EASTERN AVE
Baltimore, MD"
GAFFNEY'S BACK FIN ( seasonal),Highlandtown,"415 HIGHLAND AVE
Baltimore, MD"
GALLAGHERS BAR & GRILL    (938-940),Brewers Hill,"938 CONKLING ST
Baltimore, MD"
GALLERY,Charles North,"1735 MARYLAND AVE
Baltimore, MD"
GALLERY CAFÂ,Mount Vernon,"13 CENTRE ST
Baltimore, MD"
GARDEN BEEF & BEER,Armistead Gardens,"4809 ERDMAN AVE
Baltimore, MD"
GARDEN RESTAURANT,Riverside,"1501 LIGHT ST
Baltimore, MD"
GECKOS,Canton,"2318 FLEET ST
Baltimore, MD"
GENJI SUSHI EXPRESS   (A.K.A. 600 S EXETER ST),Inner Harbor,"1001 FLEET ST
Baltimore, MD"
"GEN-JOSEPH HALLER POST #95, AMERICAN LEGION, INC.",Fells Point,"1746 FLEET ST
Baltimore, MD"
GENTLEMEN OF CHARISMA,Middle East,"838 CHESTER ST
Baltimore, MD"
GEORGE'S CAFETERIA,Dundalk Marine Terminal,"2700 BROENING HWY
Baltimore, MD"
GEORGIO'S,Reisterstown Station,"6322 REISTERSTOWN RD
Baltimore, MD"
GERMANIO'S RESTAURANT,Little Italy,"300 HIGH ST
Baltimore, MD"
GIBSON'S,Butcher's Hill,"32 CHESTER ST
Baltimore, MD"
GILMOR PLEASURE CLUB,New Southwest/Mount Clare,"347 GILMOR ST
Baltimore, MD"
GINGER'S,Highlandtown,"421 CONKLING ST
Baltimore, MD"
"GLADIATORS ASSOCIATIONS, INC",Franklin Square,"1315 MULBERRY ST
Baltimore, MD"
GLASS DOOR lounge,Pleasant View Gardens,"1263 FAYETTE ST
Baltimore, MD"
GOLDEN KEY RESTAURANT,Glenham-Belford,"5512 HARFORD RD
Baltimore, MD"
GOLDEN NUGGET,Downtown,"411 BALTIMORE ST
Baltimore, MD"
GOLDEN NUGGET LOUNGE,Downtown,"411 1 2 E BALTIMORE ST
Baltimore, MD"
"GOLDEN WEST CAFÂ, INC.",Hampden,"1105 36TH ST
Baltimore, MD"
GOOD TIMES BAR AND LOUNGE,Franklin Square,"1600 BALTIMORE ST
Baltimore, MD"
GORDON'S,Charles North,"1818 MARYLAND AVE
Baltimore, MD"
GOSSIP BISTRO,Downtown,"21 CALVERT ST
Baltimore, MD"
GRAND CRU,Chinquapin Park-Belvedere,"527 BELVEDERE AVE
Baltimore, MD"
GRANDVIEW RESTAURANT,Hampden,"3838 ROLAND AVE
Baltimore, MD"
GRANITE,Canton,"2903 O DONNELL ST
Baltimore, MD"
GRANT'S 2 SPOT,Penrose/Fayette Street Outreach,"2 WHEELER AVE
Baltimore, MD"
GREAT TASTE CHINESE  RESTAURANT,Saint Agnes,"3444 WILKENS AVE
Baltimore, MD"
GREENE ST CAFÂ,Seton Hill,"300 GREENE ST
Baltimore, MD"
GREENHOUSE CAFÂ,Middle East,"725 WOLFE ST
Baltimore, MD"
GREENMOUNT LOUNGE,Johnston Square,"1318 GREENMOUNT AVE
Baltimore, MD"
GRENADIER CLUB,Upton,"1226 MC CULLOH ST
Baltimore, MD"
GRIFFITH'S,Hampden,"3631 HICKORY ave
Baltimore, MD"
GRILL ART,Hampden,"1011 36TH ST
Baltimore, MD"
GRILLE 601,Dunbar-Broadway,"601 CAROLINE ST
Baltimore, MD"
GROWLERS PUB,Canton,"600 POTOMAC ST
Baltimore, MD"
GROWN FOLKS BAR,Brooklyn,"3525 HANOVER ST
Baltimore, MD"
GRUMPIE'S,Federal Hill,"25 CROSS ST
Baltimore, MD"
GRUNDY'S,Brewers Hill,"718 GRUNDY ST
Baltimore, MD"
"GRUNWALD CLUB, INCORPORATED",Canton,"2825 O DONNELL ST
Baltimore, MD"
JAUNG KAK RESTURANT(aka 18 W.20TH ST),Charles North,"18 20th ST
Baltimore, MD"
JAVA JOE'S,Downtown,"8 BALTIMORE ST
Baltimore, MD"
"JAY & KAY SUBWAY, INC.",Charles Village,"37 25TH ST
Baltimore, MD"
JAY'S ON READ,Mount Vernon,"225 READ ST
Baltimore, MD"
JAY'S WOLFE ST CAFÂ,Dunbar-Broadway,"610 WOLFE ST
Baltimore, MD"
JAZZY BLUES CLUB,Upper Fells Point,"301 ANN ST
Baltimore, MD"
"JD's SMOKEHOUSE BAR & GRILL, INC.",Canton,"3000 O DONNELL ST
Baltimore, MD"
JEMELLA 'S CUT RATE,Sandtown-Winchester,"1831 MOSHER ST
Baltimore, MD"
JERRY'S BAR,Mosher,"604 POPLAR GROVE ST
Baltimore, MD"
JEWEL BOX LOUNGE,Downtown,"419 BALTIMORE ST
Baltimore, MD"
JHJ SALOON,Fells Point,"2036 EASTERN AVE
Baltimore, MD"
JIGGS TAVERN,Washington Village,"737 CARROLL ST
Baltimore, MD"
JIM DANDY'S TAVERN,Curtis Bay,"4810 CURTIS AVE
Baltimore, MD"
JIMMY'S RESTAURANT,Fells Point,"801 BROADWAY
Baltimore, MD"
JIM'S DINER,Canton Industrial Area,"4806 HOLABIRD AVE
Baltimore, MD"
JOCKEY CLUB/PALACE KITCHEN,Pimlico Good Neighbors,"Hayward Ave
Baltimore, MD"
JOE SQUARED PIZZA AND BAR,Charles North,"133 NORTH AVE
Baltimore, MD"
JOE'S TAVERN,Graceland Park,"1006 DUNDALK AVE
Baltimore, MD"
JOE'S TAVERN,Morrell Park,"2709 11 WASHINGTON BLVD
Baltimore, MD"
JOE'S TAVERN & PACKAGE GOODS,Glen,"6200 REISTERSTOWN RD
Baltimore, MD"
JOHN'S LOUNGE,Sandtown-Winchester,"1519 RIGGS AVE
Baltimore, MD"
JOY DELI,Downtown,"24 FAYETTE ST
Baltimore, MD"
JP'S,Canton,"528 BOULDIN ST
Baltimore, MD"
JR.'S BAR & GRILL,Locust Point,"1229 HULL ST
Baltimore, MD"
JUNIORS,Federal Hill,"1117 CHARLES ST
Baltimore, MD"
K.F.C.,Gay Street,"901 CAROLINE ST
Baltimore, MD"
KABOBBI RESTAURANT,Fells Point,"1616 THAMES ST
Baltimore, MD"
KALI'S COURT,Fells Point,"1606 THAMES ST
Baltimore, MD"
POSITIONS UNLIMITED,Downtown,"14 CUSTOM HOUSE AVE
Baltimore, MD"
POTBELLY SANDWICH WORK'S,Inner Harbor,"621 PRATT ST
Baltimore, MD"
PRIMO'S,Loyola/Notre Dame,"100 COLDSPRING LN
Baltimore, MD"
PULASKI FOOD SERVICE,Ellwood Park/Monument,"3505 PULASKI HWY
Baltimore, MD"
PUR LOUNGE,Canton,"2322 BOSTON ST
Baltimore, MD"
PURPLE GOOSE,Morrell Park,"2623 WASHINGTON BLVD
Baltimore, MD"
"q s r,inc  - Mcdonald's",Hillen,"1600 argonne dr
Baltimore, MD"
"qsr, inc.- McDonalds",Charles North,"15 north ave
Baltimore, MD"
"QSR, INC. MCDONALD'S)",Moravia-Walther,"4635 HARFORD rd
Baltimore, MD"
QUIGLEY 1/2 IRISH PUB,Ridgely's Delight,"633 PORTLAND AVE
Baltimore, MD"
QUINOS,Riverside,"1465 KEY HIGHWAY
Baltimore, MD"
QUIZINOS OF FALLS road,Inner Harbor,"100 CHARLES ST
Baltimore, MD"
QUIZNOS,Canton,"2837 O DONNELL ST
Baltimore, MD"
QUIZNO'S,Downtown,"10 CALVERT ST
Baltimore, MD"
QUIZNO'S,Mid-Town Belvedere,"201 CHASE ST
Baltimore, MD"
QUIZNOS OF FELLS POINT,Fells Point,"716 BROADWAY
Baltimore, MD"
QUO VADIS DEMOCRATIC CLUB,Fells Point,"1921 FLEET ST
Baltimore, MD"
RA SUSHI,Fells Point,"701 EDEN ST
Baltimore, MD"
RADISSON CROSS KEYS HOTEL,Cross Keys,"5050 FALLS RD
Baltimore, MD"
RADISSON HOTEL AT CROSS KEYS,Cross Keys,"5102 FALLS RD
Baltimore, MD"
RAFTERS,Riverside,"620 FORT AVE
Baltimore, MD"
RAINBOW HOMESTYLE BUFFET,Frankford,"5016 SINCLAIR LN
Baltimore, MD"
RAINBOW'S  BAR,Washington Village,"1175 SARGEANT ST
Baltimore, MD"
RALLO'S RESTAURANT,Riverside,"838 FORT Ave
Baltimore, MD"
RAMS HEAD TAVERN,Downtown,"20 MARKET PL
Baltimore, MD"
RANDY'S BAR,Broadway East,"2135 NORTH AVE
Baltimore, MD"
RAS-A-TER INTERNATIONAL,Easterwood,"2103 NORTH AVE
Baltimore, MD"
RASCALS COMEDY CLUB,Downtown,"6 MARKET PL
Baltimore, MD"
RAVE  INN,Curtis Bay,"4507 PENNINGTON AVE
Baltimore, MD"
RAY LEWIS' FULL MOON B-B-Q,Canton,"2400 BOSTON ST
Baltimore, MD"
RAY'S TAVERN,Saint Helena,"6500 ST HELENA AVE
Baltimore, MD"
RAYZER'S,SBIC,"13 RANDALL ST
Baltimore, MD"
RED DOOR LOUNGE,Bridgeview/Greenlawn,"1000 PAYSON ST
Baltimore, MD"
RED FISH,Canton,"845 MONTFORD AVE
Baltimore, MD"
RED FOX LIQUORS,Penn North,"2733 PENNSYLVANIA AVE
Baltimore, MD"
RED HOUSE TAVERN INC.,Canton,"2239 ESSEX ST
Baltimore, MD"
RED LYON TAVERN,Canton,"501 DECKER AVE
Baltimore, MD"
RED MAPLE,Mount Vernon,"930 CHARLES ST
Baltimore, MD"
RED ROOSTER,Frankford,"6412 FRANKFORD AVE
Baltimore, MD"
RED SQUARE RESTAURANT,Mid-Town Belvedere,"1 CHASE ST
Baltimore, MD"
REGAN'S TAVERN,Highlandtown,"4001 EASTERN AVE
Baltimore, MD"
REGI'S BAR & RESTAURANT,Federal Hill,"1002 LIGHT ST
Baltimore, MD"
GUS RESTAURANT (3103-05),Northwest Community Action,"3103 NORTH AVE
Baltimore, MD"
GYPSIES,Baltimore Highlands,"4020 LOMBARD ST
Baltimore, MD"
H.I.S. PLACE,Canton,"2822 HUDSON ST
Baltimore, MD"
HABENERO GRILL,Greektown,"4701 EASTERN AVE
Baltimore, MD"
"HAMILTON HOMING PIGEON CLUB, INC.",Frankford,"4810 GUNTHER AVE
Baltimore, MD"
HAMPDEN REPUBLICAN CLUB,Hampden,"3535 CHESTNUT AVE
Baltimore, MD"
harbor way inn,Ridgely's Delight,"737 pratt st
Baltimore, MD"
HARBORSIDE CHICKEN & SEAFOOD,Dunbar-Broadway,"600 WOLFE ST
Baltimore, MD"
HARD ROCK CAFÂ,Inner Harbor,"601 PRATT ST
Baltimore, MD"
HARD ROCK CAFÂ-OUTDOOR PIER,Inner Harbor,"601 PRATT ST
Baltimore, MD"
HARFORD HOUSE,North Harford Road,"7509 HARFORD RD
Baltimore, MD"
"HARFORD ROAD GROUP, LLC",Glenham-Belford,"5516 HARFORD RD
Baltimore, MD"
HARFORD ROAD LIQUORS,Lauraville,"4627 HARFORD RD
Baltimore, MD"
HARRAR CAFÂ,Washington Village,"821 WASHINGTON BLVD
Baltimore, MD"
MIDWAY BAR,Downtown,"421 BALTIMORE ST
Baltimore, MD"
MIKE MCGOVERN'S,Canton,"1129 CLINTON ST
Baltimore, MD"
MIKE'S PLACE,Hampden,"1102 36TH ST
Baltimore, MD"
MILTON AT CHARLES ST,Downtown,"336 CHARLES ST
Baltimore, MD"
MINATO RESTAURANT,Mid-Town Belvedere,"1013 CHARLES ST
Baltimore, MD"
MINATO/CAFE VIET RESTAURANT,Mount Vernon,"800 CHARLES ST
Baltimore, MD"
MISS SHIRLEY'S CAFÂ,Roland Park,"513 COLDSPRING LN
Baltimore, MD"
MOM'S PLACE,Washington Village,"1201 CROSS ST
Baltimore, MD"
MONDO BONDO ITALIAN BISTRO,Downtown,"30 MARKET PL
Baltimore, MD"
MONUMENT HOUSE,Milton-Montford,"2300 MONUMENT ST
Baltimore, MD"
MORGAN STATE-FACULTY,Stonewood-Pentwood-Winston,"1700 coldspring ln
Baltimore, MD"
MORTON'S--THE  STEAKHOUSE,Inner Harbor,"300 CHARLES ST
Baltimore, MD"
MO'S CRAB & PASTA FACTORY,Inner Harbor,"502 ALBEMARLE ST
Baltimore, MD"
MOTHER'S  FEDERAL  HILL  GRILL,Federal Hill,"1113 CHARLES ST
Baltimore, MD"
"MOUNT VERNON CLUB OF BALTIMORE, INC.",Mount Vernon,"8 MOUNT VERNON PL
Baltimore, MD"
MOUNT VERNON STABLE & SALOON,Mount Vernon,"909 CHARLES ST
Baltimore, MD"
MOUSE TRAP,Downtown,"12 CUSTOM HOUSE AVE
Baltimore, MD"
MR. C. PLACE,Washington Village,"1001 CAREY ST
Baltimore, MD"
MR. JOE'S BAR AND CUT RATE LIQUORS,Baltimore-Linwood,"1 HIGHLAND AVE
Baltimore, MD"
MT VERNON ENTERTAINMENT LLC,Downtown,"347 CALVERT ST
Baltimore, MD"
MT. PLEASANT INN,Baltimore Highlands,"105 CONKLING ST
Baltimore, MD"
MT. ROYAL TAVERN,Mid-Town Belvedere,"1204 MOUNT ROYAL AVE
Baltimore, MD"
MT. VERNON  HOTEL AND WASHINGTON CAFE',Mount Vernon,"24 FRANKLIN ST
Baltimore, MD"
MT. WASHINGTON TAVERN,Mount Washington,"5700 NEWBURY ST
Baltimore, MD"
MUGGSY'S,Federal Hill,"1236 LIGHT ST
Baltimore, MD"
MUGHAL GARDEN,Mount Vernon,"918 CHARLES ST
Baltimore, MD"
MUIR'S TAVERN,SBIC,"36 FORT AVE
Baltimore, MD"
MUM'S,Sharp-Leadenhall,"1132 HANOVER ST
Baltimore, MD"
MURPHY'S NEIGHBORHOOD BAR & GRILL,Mid-Govans,"5847 YORK RD
Baltimore, MD"
MUSTANG ALLEY'S,Little Italy,"1300 BANK ST
Baltimore, MD"
MUSTANG INN,Highlandtown,"3203 EASTERN AVE
Baltimore, MD"
MVP ENTERTAINMENT LLC CLUB 347-KITCHEN AREA,Downtown,"347 CALVERT ST
Baltimore, MD"
"MY COUSIN'S PLACE, LLC (3925-27)",Baltimore Highlands,"3925 LOMBARD ST
Baltimore, MD"
MY PANINI,Inner Harbor,"711 EASTERN AVE
Baltimore, MD"
MY THAI RESTAURANT,Mount Vernon,"800 CHARLES ST
Baltimore, MD"
NAK WON RESTAURANT,Charles North,"12 20TH ST
Baltimore, MD"
NAM KANG KOREAN RESTAURANT   (AKA 101 W. 22ND ST.),Charles North,"2126 MARYLAND AVE
Baltimore, MD"
NASU BLANCA,Riverside,"1036 FORT AVE
Baltimore, MD"
NCDEVINS,Canton,"801 DECKER AVE
Baltimore, MD"
NELSON BAKED GOODS & COFFEE SHOP,Middle East,"531 CHESTER ST
Baltimore, MD"
NEOPOL,Chinquapin Park-Belvedere,"529 BELVEDERE AVE
Baltimore, MD"
network deli,Woodberry,"3600 malden ave
Baltimore, MD"
NEVER ON SUNDAY,Mount Vernon,"829 CHARLES ST
Baltimore, MD"
NEVIN'S  CROSS  STREET STATION,Federal Hill,"31 CROSS ST
Baltimore, MD"
NEW CLUB THUNDERBIRD INC.,Middle East,"2201 CHASE ST
Baltimore, MD"
NEW DUFFY' S RESTAURANT,Irvington,"3436 FREDERICK AVE
Baltimore, MD"
NEW EVERGREEN CAFÂ,Reisterstown Station,"6618 C REISTERSTOWN RD
Baltimore, MD"
"NEW HONG  KONG RESTAURANT, INC.",Charles Village,"2426 CHARLES ST
Baltimore, MD"
NEW JOHNSON'S LOUNGE,Midtown-Edmondson,"546 PULASKI ST
Baltimore, MD"
"NEW MAY FLOWER BUFFET, INC.",Oakenshawe,"3326 GREENMOUNT AVE
Baltimore, MD"
"NEW MAYFIELD, INC.",Belair-Edison,"3349 BELAIR RD
Baltimore, MD"
NEW MOM & DAD LIQUORS,Sandtown-Winchester,"2143 PENNSYLVANIA AVE
Baltimore, MD"
NEW NO  DO  JI  RESTAURANT,Charles Village,"2501 CHARLES ST
Baltimore, MD"
HARRIS' TAVERN,Gwynns Falls,"2949 FREDERICK AVE
Baltimore, MD"
"HARRY OLIVER MANAGEMENT CO., INC.",Fells Point,"801 ANN ST
Baltimore, MD"
HARRY'S AMERICAN BAR,Canton,"623 LUZERNE AVE
Baltimore, MD"
HARVEST TABLE,Locust Point Industrial Area,"1000 HULL ST
Baltimore, MD"
HAVE A NICE DAY CAFÂ  (AKA 2 MARKET PLACE),Downtown,"34 MARKET PL
Baltimore, MD"
HAVEN PLACE,Baltimore Highlands,"400 HAVEN ST
Baltimore, MD"
hawley's  (2616-20),Morrell Park,"2616 WASHINGTON blvd
Baltimore, MD"
HEATH STREET PUB,SBIC,"32 HEATH ST
Baltimore, MD"
